packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us
98,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-1,1,5,10,client_to_server,data,udp,203.0.113.21,8443,925,315005000
99,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-1,1,6,10,client_to_server,data,udp,203.0.113.21,8443,925,315006000
100,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-1,1,7,10,client_to_server,data,udp,203.0.113.21,8443,925,315007000
101,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-1,1,8,10,client_to_server,data,udp,203.0.113.21,8443,925,315008000
102,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-1,1,9,10,client_to_server,data,udp,203.0.113.21,8443,181,315009000
103,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,315190000
104,3,39,application,realtime,5cac4979465c3ee6ed669421e83eb53a,ephemeral-0,0,0,2,client_to_server,data,udp,203.0.113.20,8443,925,316000000
105,3,39,application,realtime,5cac4979465c3ee6ed669421e83eb53a,ephemeral-0,0,1,2,client_to_server,data,udp,203.0.113.20,8443,213,316001000
106,3,39,application,realtime,5cac4979465c3ee6ed669421e83eb53a,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,316172000
107,3,39,application,realtime,5cac4979465c3ee6ed669421e83eb53a,ephemeral-1,1,0,2,client_to_server,data,udp,203.0.113.21,8443,925,316000000
108,3,39,application,realtime,5cac4979465c3ee6ed669421e83eb53a,ephemeral-1,1,1,2,client_to_server,data,udp,203.0.113.21,8443,213,316001000
109,3,39,application,realtime,5cac4979465c3ee6ed669421e83eb53a,ephemeral-1,1,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,316182000
